Data,Categoria,Valor
2026-04-05,Alimentação,195.03
2026-04-05,Moradia,257.0
2026-04-05,Moradia,202.78
2026-04-06,Alimentação,94.61
2026-04-09,Lazer,108.49
2026-04-11,Lazer,186.08
2026-04-13,Transporte,95.66
2026-04-13,Alimentação,162.27
2026-04-14,Transporte,56.12
2026-04-16,Transporte,134.27
2026-04-16,Saúde,162.41
2026-04-17,Alimentação,38.39
2026-04-17,Transporte,201.42
2026-04-18,Transporte,177.11
2026-04-18,Lazer,29.56
2026-04-19,Alimentação,130.47
2026-04-20,Saúde,225.01
2026-04-20,Saúde,173.98
2026-04-24,Transporte,164.54
2026-04-24,Lazer,22.94
2026-04-25,Transporte,204.0
2026-04-26,Alimentação,268.04
2026-04-27,Saúde,139.55
2026-04-28,Lazer,208.48
2026-04-30,Moradia,229.58
2026-04-30,Alimentação,95.9
2026-05-02,Moradia,95.99
2026-05-02,Transporte,263.12
2026-05-03,Lazer,88.18
2026-05-08,Transporte,125.87
2026-05-10,Alimentação,149.37
2026-05-10,Alimentação,195.8
2026-05-11,Transporte,263.54
2026-05-11,Alimentação,148.23
2026-05-12,Lazer,251.66
2026-05-12,Transporte,236.88
2026-05-12,Alimentação,43.68
2026-05-13,Transporte,62.12
2026-05-14,Lazer,50.89
2026-05-16,Alimentação,91.0
2026-05-16,Transporte,227.1
2026-05-18,Alimentação,102.61
2026-05-19,Transporte,250.59
2026-05-19,Moradia,152.19
2026-05-19,Alimentação,177.62
2026-05-19,Alimentação,51.94
2026-05-21,Moradia,139.17
2026-05-22,Alimentação,233.51
2026-05-22,Saúde,153.41
2026-05-24,Transporte,212.67
2026-05-25,Alimentação,133.37
2026-05-25,Saúde,175.98
2026-05-26,Transporte,271.98
2026-05-26,Alimentação,29.6
2026-05-27,Saúde,275.51
2026-05-28,Alimentação,275.87
2026-05-28,Alimentação,147.41
2026-05-29,Lazer,290.05
2026-05-31,Alimentação,156.32
2026-06-01,Moradia,77.52
2026-06-02,Transporte,114.52
2026-06-03,Moradia,288.32
2026-06-05,Lazer,205.23
2026-06-06,Lazer,22.44
2026-06-08,Transporte,167.52
2026-06-08,Alimentação,94.02
2026-06-09,Saúde,249.82
2026-06-12,Transporte,120.12
2026-06-13,Transporte,133.32
2026-06-15,Saúde,289.7
2026-06-15,Alimentação,52.75
2026-06-17,Transporte,121.92
2026-06-18,Transporte,133.68
2026-06-20,Moradia,207.47
2026-06-20,Moradia,89.28
2026-06-22,Alimentação,136.24
2026-06-23,Alimentação,287.7
2026-06-25,Lazer,225.41
2026-06-26,Moradia,134.46
2026-06-26,Lazer,27.04
2026-06-26,Transporte,193.22
2026-06-26,Transporte,92.55
2026-06-28,Transporte,284.09
2026-06-29,Alimentação,48.43
2026-06-30,Transporte,85.59
2026-06-30,Transporte,153.62
2026-07-01,Moradia,139.98
2026-07-01,Alimentação,113.27
2026-07-01,Moradia,99.63
2026-07-01,Transporte,201.41
2026-07-02,Transporte,124.87
2026-07-02,Moradia,296.99
2026-07-02,Alimentação,96.84
2026-07-03,Alimentação,177.76
2026-07-03,Saúde,68.36
2026-07-03,Transporte,160.66
2026-07-04,Alimentação,86.69
2026-07-05,Moradia,169.75
2026-07-06,Transporte,297.04
2026-07-06,Alimentação,209.54
2026-07-07,Alimentação,119.46
2026-07-08,Alimentação,206.5
2026-07-10,Alimentação,79.46
2026-07-12,Transporte,96.07
2026-07-13,Moradia,194.85
2026-07-15,Alimentação,288.24
2026-07-16,Lazer,194.55
2026-07-16,Alimentação,148.48
2026-07-19,Transporte,115.96
