ID_Funcionario,Departamento,Cargo,Salario,Tempo_Casa_Anos,Satisfacao_Trabalho
58,Recursos Humanos,Gerente de RH,6306,1,3
59,Marketing,Designer,4037,7,1
60,Recursos Humanos,Recrutador,9486,8,5
61,Recursos Humanos,Analista de DP,5341,7,1
62,Marketing,Designer,12216,5,2
63,Operações,Supervisor,10471,1,1
64,Recursos Humanos,Gerente de RH,9125,7,3
65,Recursos Humanos,Gerente de RH,6450,7,1
66,Marketing,Analista de Mídia,11492,9,5
67,Recursos Humanos,Recrutador,8280,3,4
68,Recursos Humanos,Gerente de RH,5868,9,1
69,Marketing,Designer,10155,1,5
70,Marketing,Analista de Mídia,11673,1,5
71,Tecnologia,Suporte,7995,4,3
72,Operações,Analista de Processos,12663,9,5
73,Operações,Analista de Processos,9502,6,5
74,Recursos Humanos,Analista de DP,10114,3,5
75,Operações,Analista de Processos,12858,1,5
76,Recursos Humanos,Gerente de RH,9419,4,2
77,Tecnologia,Suporte,13674,9,2
78,Marketing,Copywriter,4353,3,3
79,Marketing,Analista de Mídia,7646,9,1
80,Marketing,Analista de Mídia,7269,7,5
81,Operações,Analista de Processos,4074,4,1
82,Tecnologia,Desenvolvedor,4648,3,1
83,Operações,Assistente de Logística,9793,5,3
84,Operações,Analista de Processos,9957,5,5
85,Tecnologia,Analista de Dados,11009,3,5
86,Tecnologia,Analista de Dados,13407,9,4
87,Tecnologia,Desenvolvedor,8277,4,1
88,Tecnologia,Suporte,7354,5,1
89,Marketing,Copywriter,5991,4,2
90,Financeiro,Contador,6624,5,4
91,Financeiro,Contador,9191,7,2
92,Tecnologia,Suporte,6551,9,2
93,Financeiro,Assistente,3504,7,2
94,Financeiro,Contador,8722,5,3
95,Tecnologia,Analista de Dados,8815,7,3
96,Financeiro,Analista Financeiro,8369,5,2
97,Operações,Supervisor,4376,3,4
98,Recursos Humanos,Recrutador,12683,7,1
99,Recursos Humanos,Analista de DP,10527,2,4
100,Tecnologia,Analista de Dados,7642,9,5
101,Marketing,Analista de Mídia,10466,1,3
102,Tecnologia,Suporte,10579,6,1
103,Marketing,Copywriter,11487,7,1
104,Recursos Humanos,Recrutador,10299,8,5
105,Tecnologia,Analista de Dados,7965,9,5
106,Operações,Analista de Processos,4135,2,2
107,Financeiro,Assistente,5193,2,3
108,Marketing,Copywriter,13374,5,3
109,Financeiro,Contador,8252,5,4
110,Financeiro,Analista Financeiro,11811,6,2
111,Tecnologia,Suporte,4330,3,2
112,Financeiro,Analista Financeiro,8677,8,2
113,Operações,Supervisor,13061,1,2
114,Financeiro,Contador,12432,6,3
115,Tecnologia,Suporte,11808,4,3
116,Operações,Supervisor,9449,1,2
117,Recursos Humanos,Recrutador,6338,7,4
118,Financeiro,Assistente,4650,9,1
119,Tecnologia,Analista de Dados,11060,4,1
120,Recursos Humanos,Recrutador,5431,4,4
121,Recursos Humanos,Analista de DP,12704,6,2
122,Marketing,Designer,5164,3,3
123,Operações,Supervisor,4581,6,1
124,Financeiro,Contador,4012,7,5
125,Tecnologia,Desenvolvedor,11305,3,5
126,Marketing,Copywriter,8737,7,4
127,Operações,Assistente de Logística,4059,3,2
128,Marketing,Analista de Mídia,7172,2,1
129,Operações,Assistente de Logística,10904,4,2
130,Operações,Assistente de Logística,6843,8,1
131,Financeiro,Contador,7570,9,4
132,Operações,Assistente de Logística,13162,7,4
133,Marketing,Copywriter,4080,1,5
134,Operações,Analista de Processos,10504,3,2
135,Financeiro,Analista Financeiro,13986,9,5
136,Financeiro,Analista Financeiro,11630,1,2
137,Marketing,Copywriter,6647,9,5
138,Recursos Humanos,Gerente de RH,7749,8,3
139,Recursos Humanos,Analista de DP,5179,1,3
140,Operações,Analista de Processos,7006,6,3
141,Tecnologia,Desenvolvedor,10753,5,3
142,Operações,Supervisor,6244,6,1
143,Marketing,Designer,12935,5,3
144,Marketing,Designer,8688,6,4
145,Marketing,Designer,5641,5,4
146,Marketing,Analista de Mídia,13957,5,1
147,Marketing,Copywriter,10117,4,3
148,Financeiro,Contador,5979,3,3
149,Recursos Humanos,Gerente de RH,9984,3,3
150,Marketing,Copywriter,13327,4,5
